laser_name,year,doi_or_link,laser_type,facility,country,facility_status,demonstrated_status,peak_power_w,wavelength_m,rep_rate_s_inv,max_intensity_w_m2,pulse_energy_j,pulse_duration_fs,peak_power_w_num,wavelength_m_num,rep_rate_hz_num,max_intensity_w_m2_num,pulse_energy_j_num,pulse_duration_fs_num,year_num,peak_power_pw,wavelength_nm,wavelength_um,rep_rate_hz,max_intensity_w_cm2,pulse_duration_ps,record_id,source_kind,has_source,is_petawatt_class,is_multipetawatt_class,is_10pw_class,wavelength_band,facility_status_group,laser_type_label,demonstrated_label,completeness_score,fom_completeness_score,fom_missing_count
SEL-100 PW,Planned,,HY,Shanghai Institute of Optics and Fine Mechanics,China,Commissioning / Partial or design value,O,100000000000000000,8.000000000000001e-07,N/A,N/A,3000,30,1e+17,8.000000000000001e-07,,,3000.0,30.0,,100.00000000000001,800.0000000000001,0.8,,,0.03,sel-100-pw-shanghai-institute-of-optics-and-fine-mechanics-planned-742a70,missing,False,True,True,True,near_ir,commissioning,Hybrid solid-state / parametric laser,Other / partial / representative / operational context requiring interpretation,0.875,0.6666666666666666,2
GEKKO-EXA / J-EPoCH,Concept / technology development,GEKKO XII - Grokipedia,OP,"Institute of Laser Engineering, Osaka University",Japan,Design / Not demonstrated,N,50000000000000000,9.100000000000001e-07,N/A,N/A,500,10,5e+16,9.100000000000001e-07,,,500.0,10.0,,50.00000000000001,910.0000000000001,0.91,,,0.01,gekko-exa-j-epoch-institute-of-laser-engineering-osaka-university-concept-technology-development-f8baa5,other,True,True,True,True,near_ir,demonstrated_only,Optical parametric laser,Not demonstrated / planned / not demonstrated at stated performance,1.0,0.6666666666666666,2
NSF OPAL / EP-OPAL,Design/prototyping phase,https://nsf-opal.rochester.edu/capabilities/ ; https://www.osti.gov/pages/biblio/2573036,OP,"University of Rochester, Laboratory for Laser Energetics",USA,Design / Not demonstrated,N,25000000000000000,9.200000000000001e-07,N/A,N/A,500,20,2.5e+16,9.200000000000001e-07,,,500.0,20.0,,25.000000000000004,920.0000000000001,0.92,,,0.02,nsf-opal-ep-opal-university-of-rochester-laboratory-for-laser-energetics-design-prototyping-phase-539c32,url,True,True,True,True,near_ir,demonstrated_only,Optical parametric laser,Not demonstrated / planned / not demonstrated at stated performance,1.0,0.6666666666666666,2
Vulcan 20-20,Target late 2020s; not yet demonstrated,Mace | Building one of the world’s most powerful lasers,OP,"Central Laser Facility, STFC Rutherford Appleton Laboratory",United Kingdom,Commissioning / Partial or design value,O,20000000000000000,9.100000000000001e-07,0.0033333333333333335,N/A,400,20,2e+16,9.100000000000001e-07,0.0033333333333333335,,400.0,20.0,,20.0,910.0000000000001,0.91,0.0033333333333333335,,0.02,vulcan-20-20-central-laser-facility-stfc-rutherford-appleton-laboratory-target-late-2020s-not-yet-demonstrated-17ad5d,other,True,True,True,True,near_ir,commissioning,Optical parametric laser,Other / partial / representative / operational context requiring interpretation,1.0,0.8333333333333334,1
SULF (Shanghai Superintense Ultrafast Laser Facility),2020,Overview--Shanghai Superintense Ultrafast Laser Facility ; 10.1017/hpl.2022.17 ; https://doi.org/10.1017/hpl.2022.17,SS,Shanghai Institute of Optics and Fine Mechanics (SIOM) / ShanghaiTech University,China,Commissioning / Partial or design value,O,12800000000000000,8.08e-07,0.016666666666666666,20000000000000001811939328,339,26.5,1.28e+16,8.08e-07,0.016666666666666666,2e+25,339.0,26.5,2020.0,12.8,808.0,0.808,0.016666666666666666,2.0000000000000003e+21,0.0265,sulf-shanghai-superintense-ultrafast-laser-facility-shanghai-institute-of-optics-and-fine-mechanics-siom-shanghaitech-university-2020-4d69ac,doi,True,True,True,True,near_ir,commissioning,Solid-state bulk laser,Other / partial / representative / operational context requiring interpretation,1.0,1.0,0
High-Power Laser System (HPLS),2022,https://doi.org/10.1017/hpl.2022.11,HY,"Magurele, Romania",Romania,Operational / Demonstrated,Y,10200000000000000,8.200000000000001e-07,0.016666666666666666,N/A,251.3,21.7,1.02e+16,8.200000000000001e-07,0.016666666666666666,,251.3,21.7,2022.0,10.200000000000001,820.0000000000001,0.8200000000000001,0.016666666666666666,,0.0217,high-power-laser-system-hpls-magurele-romania-2022-9396ae,doi,True,True,True,True,near_ir,operational,Hybrid solid-state / parametric laser,Demonstrated,1.0,0.8333333333333334,1
ELI Beamlines L4 ATON,2025,ELI’s L4 ATON Laser Reaches 5 Petawatt Output | Business | Oct 2025 | Photonics Spectra ; https://www.eli-laser.eu/news/eli-s-l4-aton-laser-achieves-5-petawatt/,OP,"ELI Beamlines, ELI ERIC",Czech Republic,Commissioning / Partial or design value,O,10000000000000000,1.0530000000000001e-06,0.016666666666666666,N/A,1500,150,1e+16,1.0530000000000001e-06,0.016666666666666666,,1500.0,150.0,2025.0,10.0,1053.0000000000002,1.0530000000000002,0.016666666666666666,,0.15,eli-beamlines-l4-aton-eli-beamlines-eli-eric-2025-ac7e94,other,True,True,True,True,near_ir,commissioning,Optical parametric laser,Other / partial / representative / operational context requiring interpretation,1.0,0.8333333333333334,1
Apollon,2 PW demonstrated; 8-10 PW commissioning goal,APOLLON: a multi-PW laser facility (Conference Presentation) ; https://doi.org/10.1063/5.0262312,HY,LULI / CNRS / CEA / École Polytechnique / Université Paris-Saclay,France,Commissioning / Partial or design value,O,10000000000000000,8.000000000000001e-07,0.016666666666666666,N/A,150,15,1e+16,8.000000000000001e-07,0.016666666666666666,,150.0,15.0,,10.0,800.0000000000001,0.8,0.016666666666666666,,0.015,apollon-luli-cnrs-cea-cole-polytechnique-universit-paris-saclay-2-pw-demonstrated-8-10-pw-commissioning-goal-cb42d3,doi,True,True,True,True,near_ir,commissioning,Hybrid solid-state / parametric laser,Other / partial / representative / operational context requiring interpretation,1.0,0.8333333333333334,1
ELI-NP 10 PW Beamline,2019,"World's most powerful laser, developed by Thales and ELI-NP, achieves record power level of 10 PW | Laser Focus World ; https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7F68E8E791BE58DAD69566A9DD53A96B/S2095471922000111a.pdf/10-pw-peak-power-femtosecond-laser-pulses-at-eli-np.pdf ; https://doi.org/10.1017/hpl.2022.11 ; 10.1017/hpl.2022.11",SS,Extreme Light Infrastructure - Nuclear Physics,Romania,Operational / Demonstrated,Y,10000000000000000,8.200000000000001e-07,0.016666666666666666,N/A,250,25,1e+16,8.200000000000001e-07,0.016666666666666666,,250.0,25.0,2019.0,10.0,820.0000000000001,0.8200000000000001,0.016666666666666666,,0.025,eli-np-10-pw-beamline-extreme-light-infrastructure-nuclear-physics-2019-743bac,doi,True,True,True,True,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.8333333333333334,1
SULF Prototype,2016,10.1364/OE.25.005169,SS,SIOM / ShanghaiTech,China,Commissioning / In progress,O,5400000000000000,8.000000000000001e-07,N/A,N/A,192.3,24,5400000000000000.0,8.000000000000001e-07,,,192.3,24.0,2016.0,5.4,800.0000000000001,0.8,,,0.024,sulf-prototype-siom-shanghaitech-2016-1580d1,doi,True,True,True,False,near_ir,commissioning,Solid-state bulk laser,Other / partial / representative / operational context requiring interpretation,1.0,0.6666666666666666,2
