laser_name,year,doi_or_link,laser_type,facility,country,facility_status,demonstrated_status,peak_power_w,wavelength_m,rep_rate_s_inv,max_intensity_w_m2,pulse_energy_j,pulse_duration_fs
SEL-100 PW,Planned,,HY,Shanghai Institute of Optics and Fine Mechanics,China,Commissioning / Partial or design value,O,100000000000000000,8.000000000000001e-07,N/A,N/A,3000,30
GEKKO-EXA / J-EPoCH,Concept / technology development,GEKKO XII - Grokipedia,OP,"Institute of Laser Engineering, Osaka University",Japan,Design / Not demonstrated,N,50000000000000000,9.100000000000001e-07,N/A,N/A,500,10
NSF OPAL / EP-OPAL,Design/prototyping phase,https://nsf-opal.rochester.edu/capabilities/ ; https://www.osti.gov/pages/biblio/2573036,OP,"University of Rochester, Laboratory for Laser Energetics",USA,Design / Not demonstrated,N,25000000000000000,9.200000000000001e-07,N/A,N/A,500,20
Vulcan 20-20,Target late 2020s; not yet demonstrated,Mace | Building one of the world’s most powerful lasers,OP,"Central Laser Facility, STFC Rutherford Appleton Laboratory",United Kingdom,Commissioning / Partial or design value,O,20000000000000000,9.100000000000001e-07,0.0033333333333333335,N/A,400,20
SULF (Shanghai Superintense Ultrafast Laser Facility),2020,Overview--Shanghai Superintense Ultrafast Laser Facility ; 10.1017/hpl.2022.17 ; https://doi.org/10.1017/hpl.2022.17,SS,Shanghai Institute of Optics and Fine Mechanics (SIOM) / ShanghaiTech University,China,Commissioning / Partial or design value,O,12800000000000000,8.08e-07,0.016666666666666666,20000000000000001811939328,339,26.5
High-Power Laser System (HPLS),2022,https://doi.org/10.1017/hpl.2022.11,HY,"Magurele, Romania",Romania,Operational / Demonstrated,Y,10200000000000000,8.200000000000001e-07,0.016666666666666666,N/A,251.3,21.7
ELI Beamlines L4 ATON,2025,ELI’s L4 ATON Laser Reaches 5 Petawatt Output | Business | Oct 2025 | Photonics Spectra ; https://www.eli-laser.eu/news/eli-s-l4-aton-laser-achieves-5-petawatt/,OP,"ELI Beamlines, ELI ERIC",Czech Republic,Commissioning / Partial or design value,O,10000000000000000,1.0530000000000001e-06,0.016666666666666666,N/A,1500,150
Apollon,2 PW demonstrated; 8-10 PW commissioning goal,APOLLON: a multi-PW laser facility (Conference Presentation) ; https://doi.org/10.1063/5.0262312,HY,LULI / CNRS / CEA / École Polytechnique / Université Paris-Saclay,France,Commissioning / Partial or design value,O,10000000000000000,8.000000000000001e-07,0.016666666666666666,N/A,150,15
ELI-NP 10 PW Beamline,2019,"World's most powerful laser, developed by Thales and ELI-NP, achieves record power level of 10 PW | Laser Focus World ; https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7F68E8E791BE58DAD69566A9DD53A96B/S2095471922000111a.pdf/10-pw-peak-power-femtosecond-laser-pulses-at-eli-np.pdf ; https://doi.org/10.1017/hpl.2022.11 ; 10.1017/hpl.2022.11",SS,Extreme Light Infrastructure - Nuclear Physics,Romania,Operational / Demonstrated,Y,10000000000000000,8.200000000000001e-07,0.016666666666666666,N/A,250,25
SULF Prototype,2016,10.1364/OE.25.005169,SS,SIOM / ShanghaiTech,China,Commissioning / In progress,O,5400000000000000,8.000000000000001e-07,N/A,N/A,192.3,24
