column,missing_count,missing_fraction
laser_name,0,0.0
year,15,0.10416666666666667
doi_or_link,19,0.13194444444444445
laser_type,15,0.10416666666666667
facility,15,0.10416666666666667
country,19,0.13194444444444445
facility_status,0,0.0
demonstrated_status,0,0.0
peak_power_w,19,0.13194444444444445
wavelength_m,15,0.10416666666666667
rep_rate_s_inv,75,0.5208333333333334
max_intensity_w_m2,131,0.9097222222222222
pulse_energy_j,22,0.1527777777777778
pulse_duration_fs,23,0.1597222222222222
peak_power_w_num,19,0.13194444444444445
wavelength_m_num,15,0.10416666666666667
rep_rate_hz_num,75,0.5208333333333334
max_intensity_w_m2_num,131,0.9097222222222222
pulse_energy_j_num,22,0.1527777777777778
pulse_duration_fs_num,23,0.1597222222222222
year_num,29,0.2013888888888889
peak_power_pw,19,0.13194444444444445
wavelength_nm,15,0.10416666666666667
wavelength_um,15,0.10416666666666667
rep_rate_hz,75,0.5208333333333334
max_intensity_w_cm2,131,0.9097222222222222
pulse_duration_ps,23,0.1597222222222222
record_id,0,0.0
source_kind,0,0.0
has_source,0,0.0
is_petawatt_class,0,0.0
is_multipetawatt_class,0,0.0
is_10pw_class,0,0.0
wavelength_band,15,0.10416666666666667
facility_status_group,0,0.0
laser_type_label,0,0.0
demonstrated_label,0,0.0
completeness_score,0,0.0
fom_completeness_score,0,0.0
fom_missing_count,0,0.0
